state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_KS,enrollmetric,pp_stloc_raw_KS,pp_fed_raw_KS,pp_total_raw_KS,schoolstloc_raw_KS,schoolfed_raw_KS,schooltot_raw_KS,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
KS,2018-2019,D0327,3600,Ellsworth,Kanopolis Middle,2005870,2005870,17502700800000.0,200587000612,110.0,05-06,2.0,110,September Count Day,10363,505,10868,1139948,55585,1195533,11238.46105,1,0,1,0,1,0,0
KS,2018-2019,D0253,1424,Emporia,Emporia High,2005940,2005940,17505605000000.0,200594000226,1531.0,07-12,4.0,1510,September Count Day,10554,887,11441,15936401,1339431,17275832,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1422,Emporia,Emporia Middle School,2005940,2005940,17505605000000.0,200594000225,1027.0,05-09,3.0,1027.2,September Count Day,7580,787,8367,7786131,808568,8594699,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1428,Emporia,Logan Ave Elem,2005940,2005940,17505605000000.0,200594000227,295.0,PK-05,2.0,256.2,September Count Day,9585,1536,11121,2455616,393585,2849201,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1429,Emporia,Riverside Elementary,2005940,2005940,17505605000000.0,200594001796,399.0,PK-06,2.0,353.5,September Count Day,11043,1496,12539,3903875,528768,4432643,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1430,Emporia,Timmerman Elementary,2005940,2005940,17505605000000.0,200594001797,414.0,PK-05,2.0,391.5,September Count Day,9382,1178,10560,3673041,461200,4134241,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1414,Emporia,Village Elem,2005940,2005940,17505605000000.0,200594000222,433.0,PK-05,2.0,405.5,September Count Day,9357,1404,10761,3794413,569243,4363656,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1418,Emporia,W A White Elem,2005940,2005940,17505605000000.0,200594000224,272.0,PK-05,2.0,252.8,September Count Day,9907,1451,11358,2504368,366887,2871255,,1,0,1,0,1,1,1
KS,2018-2019,D0253,1416,Emporia,Walnut Elem,2005940,2005940,17505605000000.0,200594000223,298.0,PK-05,2.0,276,September Count Day,9864,1305,11169,2722514,360044,3082558,,1,0,1,0,1,1,1
KS,2018-2019,D0101,111,Erie-Galesburg,Erie Elementary,2006000,2006000,17506700900000.0,200600001946,226.0,PK-05,2.0,192.5,September Count Day,11752,1242,12995,2262331,239154,2501485,13185.3021,1,0,1,0,1,0,0
KS,2018-2019,D0101,113,Erie-Galesburg,Erie High School,2006000,2006000,17506700900000.0,200600002046,176.0,09-12,4.0,176,September Count Day,13161,612,13773,2316381,107751,2424132,13937.60346,1,0,1,0,1,0,0
KS,2018-2019,D0101,112,Erie-Galesburg,Galesburg Middle School,2006000,2006000,17506700900000.0,200600001932,123.0,06-08,3.0,123,September Count Day,9105,1399,10504,1119945,172064,1292009,10776.58398,1,0,1,0,1,0,0
