state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_VT,enrollmetric,pp_stloc_raw_VT,pp_fed_raw_VT,pp_total_raw_VT,schoolstloc_raw_VT,schoolfed_raw_VT,schooltot_raw_VT,pp_total_norm_NERDS,su_id_raw_VT,su_name_raw_VT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
VT,2018-2019,U059,PS047,Orange Southwest Unified School District,BROOKFIELD ELEMENTARY SCHOOL,5000400.0,5000400,46500980200000.0,500040000057,68.0,PK-06,2.0,67,October Count Day,10372,0,10372,694924,0,694924,,SU028,ORANGE SOUTHWEST SU,1,0,1,0,0,0,1
VT,2018-2019,U059,PS359,Orange Southwest Unified School District,RANDOLPH ELEMENTARY SCHOOL,5000400.0,5000400,46500980200000.0,500040000443,346.0,PK-06,2.0,297,October Count Day,12780,0,12780,3795660,0,3795660,,SU028,ORANGE SOUTHWEST SU,1,0,1,0,0,0,1
VT,2018-2019,U059,VC012,Orange Southwest Unified School District,Randolph Technical Career Center,5000400.0,5000400,46500980200000.0,500040000098,0.0,09-12,4.0,NRD,October Count Day,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,1,0,1,0,0,1,1
VT,2018-2019,U059,PS237,Orange Southwest Unified School District,RANDOLPH UHS #2,5000400.0,5000400,46500980200000.0,500040000042,393.0,07-12,4.0,393,October Count Day,13699,0,13699,5383707,0,5383707,,SU028,ORANGE SOUTHWEST SU,1,0,1,0,0,0,1
VT,2018-2019,U094,PS131,Orleans Southwest Union Elementary School District #94,HARDWICK ELEMENTARY SCHOOL,5004560.0,5000438,46500300500000.0,500043800147,,PK-06,2.0,201,October Count Day,10908,0,10908,2192508,0,2192508,13395.6214,SU035,ORLEANS SOUTHWEST SU,1,0,1,0,0,0,0
VT,2018-2019,U094,PS126,Orleans Southwest Union Elementary School District #94,LAKEVIEW US #43,5000003.0,5000438,46501001000000.0,500043800461,,PK-06,2.0,55,October Count Day,14411,0,14411,792605,0,792605,17073.61194,SU035,ORLEANS SOUTHWEST SU,1,0,1,0,0,0,0
VT,2018-2019,U094,PS353,Orleans Southwest Union Elementary School District #94,WOODBURY ELEMENTARY SCHOOL,5009420.0,5000438,46501201900000.0,500043800392,,PK-06,2.0,46,October Count Day,12762,0,12762,587052,0,587052,14350.35714,SU035,ORLEANS SOUTHWEST SU,1,0,1,0,0,0,0
VT,2018-2019,U053,PS165,Otter Valley Unified Union School District #53,LOTHROP SCHOOL,5000392.0,5000392,46501190500000.0,500039200239,204.0,PK-06,2.0,174,October Count Day,12511,0,12511,2176914,0,2176914,,SU036,RUTLAND NORTHEAST SU,1,0,1,0,0,0,1
VT,2018-2019,U053,PS200,Otter Valley Unified Union School District #53,NESHOBE SCHOOL,5000392.0,5000392,46501190500000.0,500039200411,415.0,PK-06,2.0,332,October Count Day,10856,0,10856,3604192,0,3604192,,SU036,RUTLAND NORTHEAST SU,1,0,1,0,0,0,1
VT,2018-2019,U053,PS418,Otter Valley Unified Union School District #53,OTTER CREEK ACAD AT LEI SUD AND WHITING,5000392.0,5000392,46501190500000.0,500039200544,110.0,PK-06,2.0,90,October Count Day,,0,,,0,,,SU036,RUTLAND NORTHEAST SU,1,0,1,0,0,1,1
