state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TX,enrollmetric,pp_stloc_raw_TX,pp_fed_raw_TX,pp_total_raw_TX,pp_site_stloc_raw_TX,pp_site_fed_raw_TX,pp_site_raw_TX,pp_centshare_stloc_raw_TX,pp_centshare_fed_raw_TX,pp_centshare_raw_TX,schoolstloc_raw_TX,schoolfed_raw_TX,schooltot_raw_TX,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
TX,2018-2019,221901,221901120,ABILENE ISD,REAGAN EL,4807440,4807440,44522101100000.0,480744000033.0,389.0,PK-05,2.0,387,October Count Day,7497.6693475217,1890.45267355017,9388.12202107187,6000.39793281653,1539.69509043927,7540.09302325581,1497.27141470516,350.757583110895,1848.02899781606,2901598.0374909,731605.184663916,3633203.22215481,9571.955156,1,0,0,0,1,0,0
TX,2018-2019,221901,221901007,ABILENE ISD,TAYLOR COUNTY LEARNING CENTER,4807440,4807440,44522101100000.0,480744009062.0,11.0,05-11,4.0,11,October Count Day,14270.9077783415,350.757583110895,14621.6653614524,12773.6363636363,0,12773.6363636363,1497.27141470516,350.757583110895,1848.02899781606,156979.985561756,3858.33341421984,160838.318975976,14807.71631,1,0,0,0,1,0,0
TX,2018-2019,221901,221901121,ABILENE ISD,TAYLOR EL,4807440,4807440,44522101100000.0,480744000035.0,629.0,KG-05,2.0,628,October Count Day,6887.65358031026,728.778283747838,7616.4318640581,5390.38216560509,378.020700636942,5768.40286624203,1497.27141470516,350.757583110895,1848.02899781606,4325446.44843484,457672.762193642,4783119.21062848,7799.514213,1,0,0,0,1,0,0
TX,2018-2019,221901,221901151,ABILENE ISD,THOMAS EL,4807440,4807440,44522101100000.0,480744002241.0,444.0,KG-05,2.0,444,October Count Day,7463.13853182228,1544.72605157936,9007.86458340165,5965.86711711711,1193.96846846846,7159.83558558558,1497.27141470516,350.757583110895,1848.02899781606,3313633.50812909,685858.366901237,3999491.87503033,9191.536577,1,0,0,0,1,0,0
TX,2018-2019,221901,221901150,ABILENE ISD,WARD EL,4807440,4807440,44522101100000.0,480744002238.0,553.0,PK-05,2.0,551,October Count Day,6957.79773049464,1036.20585897296,7994.0035894676,5460.52631578947,685.448275862069,6145.97459165154,1497.27141470516,350.757583110895,1848.02899781606,3833746.54950254,570949.428294103,4404695.97779665,8177.245941,1,0,0,0,1,0,0
TX,2018-2019,221901,221901003,ABILENE ISD,WOODSON CENTER FOR EXCELLENCE,4807440,4807440,44522101100000.0,480744007123.0,183.0,08-12,4.0,178,October Count Day,9894.02422369393,992.695785358086,10886.720009052,8396.75280898876,641.938202247191,9038.69101123595,1497.27141470516,350.757583110895,1848.02899781606,1761136.31181751,176699.849793739,1937836.16161125,11071.1882,1,0,0,0,1,0,0
TX,2018-2019,57814,57814001,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS COUNTY JUVENILE JUSTICE,4800093,4800093,44105705760300.0,480009308164.0,292.0,06-12,4.0,292,October Count Day,10847.1547538315,2579.42726163027,13426.5820154618,9763.80821917808,2339.20547945205,12103.0136986301,1083.34653465346,240.221782178217,1323.56831683168,3167369.18811881,753192.760396039,3920561.94851485,13122.08295,1,0,0,0,1,0,0
TX,2018-2019,57814,57814002,ACADEMY FOR ACADEMIC EXCELLENCE,DRC CAMPUS,4800093,4800093,44105705760300.0,480009312248.0,45.0,07-11,4.0,45,October Count Day,12389.4132013201,1092.93289328932,13482.3460946094,11306.0666666666,852.711111111111,12158.7777777777,1083.34653465346,240.221782178217,1323.56831683168,557523.594059406,49181.9801980197,606705.574257425,13177.87067,1,0,0,0,1,0,0
TX,2018-2019,57814,57814005,ACADEMY FOR ACADEMIC EXCELLENCE,LETOT CAMPUS,4800093,4800093,44105705760300.0,480009312005.0,53.0,07-12,4.0,53,October Count Day,19213.9880440874,2342.24065010274,21556.2286941901,18130.6415094339,2102.01886792452,20232.6603773584,1083.34653465346,240.221782178217,1323.56831683168,1018341.36633663,124138.754455445,1142480.12079207,21255.17472,1,0,0,0,1,0,0
TX,2018-2019,57814,57814003,ACADEMY FOR ACADEMIC EXCELLENCE,MEDLOCK YOUTH VILLAGE,4800093,4800093,44105705760300.0,480009312112.0,87.0,06-12,4.0,87,October Count Day,19032.4499829293,1773.11833390235,20805.5683168316,17949.1034482758,1532.89655172413,19482,1083.34653465346,240.221782178217,1323.56831683168,1655823.14851485,154261.295049504,1810084.44356435,20504.19624,1,0,0,0,1,0,0
