state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_TN,enrollmetric,pp_stloc_raw_TN,pp_fed_raw_TN,pp_total_raw_TN,pp_site_stloc_raw_TN,pp_site_fed_raw_TN,pp_site_raw_TN,pp_centshare_stloc_raw_TN,pp_centshare_fed_raw_TN,pp_centshare_raw_TN,schoolstloc_raw_TN,schoolfed_raw_TN,schooltot_raw_TN,pp_total_norm_NERDS,ppnutritionsite_raw_TN,ppnutritioncent_raw_TN,countenroll,noaudit,nositecent,adfinvars,distflex,flag_nerds,flag_f33
TN,2018-2019,450,55,Jefferson County,Talbott Elementary,4702100,4702100,43104504530100.0,470210000689,237.0,PK-05,2.0,215,ADA,9649.912109375,667.395874023438,11133.4152598747,7409.15348837209,496.404651162791,8721.66511627907,2240.75875933372,170.991240666284,2411.75014359563,2074731.125,143490.109375,2393684.28087306,10744.18963,816.106976744186,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,450,60,Jefferson County,White Pine Elementary,4702100,4702100,43104504530100.0,470210000693,839.0,PK-08,3.0,816,ADA,7411.71484375,823.437316894531,8729.97195732113,5170.95588235294,652.446078431373,6318.22181372549,2240.75875933372,170.991240666284,2411.75014359563,6047959,671924.875,7123657.11717404,8415.026507,494.819852941176,0.000143595634692705,0,0,0,0,0,0,0
TN,2018-2019,901,7,Johnson City,Cherokee Elementary,4702130,4702130,43209000130100.0,470213001881,380.0,PK-04,2.0,360,ADA,9022.6162109375,661.987731933594,10195.8174789595,7195.9,530.316666666667,8116.44166666667,1826.71631089008,131.671090283091,2079.37581229278,3248141.75,238315.59375,3670494.2924254,9763.287634,390.225,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,15,Johnson City,Fairmont Elementary,4702130,4702130,43209000130100.0,470213000672,543.0,PK-04,2.0,503,ADA,9003.7998046875,958.358947753906,10475.6899276009,7177.08349900596,826.687872763419,8396.31411530815,1826.71631089008,131.671090283091,2079.37581229278,4528911.5,482054.5625,5269272.03358327,10034.51042,392.542743538767,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,16,Johnson City,Indian Trail Intermediate School,4702130,4702130,43209000130100.0,470213000988,1225.0,05-06,2.0,1225,ADA,7651.1181640625,464.026184082031,8596.91948576217,5824.40163265306,332.355102040816,6517.54367346939,1826.71631089008,131.671090283091,2079.37581229278,9372619,568432.0625,10531226.3700587,8213.804759,360.78693877551,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,18,Johnson City,Lake Ridge Elementary,4702130,4702130,43209000130100.0,470213000991,525.0,PK-04,2.0,525,ADA,8690.8056640625,284.916809082031,9373.81009800707,6864.08952380952,153.245714285714,7294.43428571429,1826.71631089008,131.671090283091,2079.37581229278,4562673,149581.328125,4921250.30145371,8966.684996,277.099047619048,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,35,Johnson City,Liberty Bell Middle School,4702130,4702130,43209000130100.0,470213002268,1205.0,07-08,3.0,1205,ADA,7786.54296875,345.513427734375,8615.55257577826,5959.8265560166,213.842323651452,6536.17676348548,1826.71631089008,131.671090283091,2079.37581229278,9382784,416343.65625,10381740.8538128,8231.86198,362.507883817427,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,7001,Johnson City,Little Buccaneers Student Child Care Center,4702130,4702130,43209000130100.0,470213002173,0.0,PK-PK,1.0,NRD,ADA,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,0,0,0,0,0,1,0
TN,2018-2019,901,37,Johnson City,Mountain View Elementary,4702130,4702130,43209000130100.0,470213000424,403.0,PK-04,2.0,403,ADA,10499.4287109375,1017.03582763672,12183.2666311513,8672.71215880893,885.36476426799,10103.8908188586,1826.71631089008,131.671090283091,2079.37581229278,4231269.5,409865.4375,4909856.45235399,11689.31321,545.813895781638,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,40,Johnson City,North Side Elementary,4702130,4702130,43209000130100.0,470213000683,313.0,PK-04,2.0,234,ADA,14009.0966796875,2009.02575683594,16710.5937610107,12182.3803418803,1877.3547008547,14631.2179487179,1826.71631089008,131.671090283091,2079.37581229278,3278128.5,470112.03125,3910278.94007651,16076.71996,571.482905982906,120.988411119612,0,0,0,0,0,1,0
TN,2018-2019,901,45,Johnson City,Science Hill High School,4702130,4702130,43209000130100.0,470213000686,2277.0,09-12,4.0,2277,ADA,9325.8779296875,308.455017089844,9971.26557953038,7499.16117698726,176.783926218709,7891.88976723759,1826.71631089008,131.671090283091,2079.37581229278,21235024,702352.0625,22704571.7245907,9545.675676,215.944664031621,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,55,Johnson City,South Side Elementary,4702130,4702130,43209000130100.0,470213000687,362.0,PK-04,2.0,343,ADA,9389.0693359375,754.703186035156,10712.7985528176,7562.3527696793,623.032069970845,8633.42274052478,1826.71631089008,131.671090283091,2079.37581229278,3220450.75,258863.1875,3674489.90361643,10264.29103,448.037900874636,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,65,Johnson City,Towne Acres Elementary,4702130,4702130,43209000130100.0,470213000690,399.0,PK-04,2.0,399,ADA,8949.197265625,569.415466308594,9931.58633860857,7122.48120300752,437.744360902256,7852.21052631579,1826.71631089008,131.671090283091,2079.37581229278,3570729.75,227196.765625,3962702.94910482,9507.222751,291.984962406015,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,901,20,Johnson City,Woodland Elementary,4702130,4702130,43209000130100.0,470213000673,388.0,PK-04,2.0,368,ADA,9984.7216796875,930.790649414062,11546.7236383797,8158.00543478261,799.119565217391,9467.34782608696,1826.71631089008,131.671090283091,2079.37581229278,3674377.5,342530.96875,4249194.29892374,11072.44305,510.222826086957,120.988411119612,0,0,0,0,0,0,0
TN,2018-2019,460,5,Johnson County,Doe Elementary,4702160,4702160,43104604630100.0,470216000694,178.0,PK-06,2.0,158,ADA,10046.3779296875,1710.63293457031,12525.7422945395,7217.55063291139,1357.74683544304,9284.22151898734,2828.82726759117,352.886137647663,3241.52077555213,1587327.75,270280,1979067.28253724,12499.66711,708.924050632911,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,460,15,Johnson County,Johnson Co High School,4702160,4702160,43104604630100.0,470216000696,583.0,09-12,4.0,583,ADA,9855.9931640625,495.290954589844,11212.5670877305,7027.16638078902,142.404802744425,7971.04631217839,2828.82726759117,352.886137647663,3241.52077555213,5746044.5,288754.625,6536926.61214689,11227.07655,801.47512864494,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,460,16,Johnson County,Johnson Co Middle School,4702160,4702160,43104604630100.0,470216000697,332.0,07-08,3.0,332,ADA,8570.697265625,745.112060546875,9375.6171610943,5741.87048192771,392.225903614458,6134.09638554217,2828.82726759117,352.886137647663,3241.52077555213,2845471.75,247377.203125,3112704.89748331,9446.898914,0,59.8073703133025,0,0,0,0,0,0,0
TN,2018-2019,460,20,Johnson County,Laurel Elementary,4702160,4702160,43104604630100.0,470216000698,71.0,PK-06,2.0,64,ADA,10409.8896484375,2141.29248046875,13377.0832755521,7581.0625,1788.40625,10135.5625,2828.82726759117,352.886137647663,3241.52077555213,666232.9375,137042.71875,856133.329635337,13324.69678,766.09375,59.8073703133025,0,0,0,0,0,0,0
