state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_UT,enrollmetric,pp_stloc_raw_UT,pp_fed_raw_UT,pp_total_raw_UT,pp_site_stloc_raw_UT,pp_site_fed_raw_UT,pp_site_raw_UT,pp_centshare_stloc_raw_UT,pp_centshare_fed_raw_UT,pp_centshare_raw_UT,schoolstloc_raw_UT,schoolfed_raw_UT,schooltot_raw_UT,pp_total_norm_NERDS,distexclu_raw_UT,disttotwexclu_raw_UT,schtype_raw_UT,Title_1_raw_UT,NESS_raw_UT,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
UT,2018-2019,19,406,Nebo District,Mt. Nebo Junior High,4900630,4900630,45502500200000.0,490063001158.0,716.0,07-09,3.0,713.688888888888,ADM,8073.51912399638,666.366129262209,8739.88525325859,5687.21069722053,298.096285280394,5985.30698250093,2386.30842677584,368.269843981815,2754.57827075766,5761980.89302817,475578.102386336,6237558.99541451,8491.331348,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,345,Nebo District,Mt. Nebo Middle,4900630,4900630,45502500200000.0,490063001563.0,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,61343912.8,318555493.85,NRD,NRD,NRD,0,0,0,0,0,1,0
UT,2018-2019,19,747,Nebo District,Nebo Advanced Learning Center,4900630,4900630,45502500200000.0,490063001458.0,5.0,KG-12,4.0,5.64444444444444,ADM,349493.108623626,368.269843981815,349861.378467608,347106.80019685,0,347106.80019685,2386.30842677584,368.269843981815,2754.57827075766,1972694.43534224,2078.67867491958,1974773.11401716,349612.8246,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,143,Nebo District,Orchard Hills School,4900630,4900630,45502500200000.0,490063001155.0,560.0,PK-06,2.0,540.338888888889,ADM,7512.99668805379,602.13028567833,8115.12697373213,5126.68826127795,233.860441696515,5360.54870297447,2386.30842677584,368.269843981815,2754.57827075766,4059564.28264889,325354.409529778,4384918.69217867,7866.573069,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,144,Nebo District,Park School,4900630,4900630,45502500200000.0,490063000388.0,454.0,PK-06,2.0,422.238888888888,ADM,7095.15106287778,750.349589891111,7845.50065276889,4708.84263610194,382.079745909295,5090.92238201123,2386.30842677584,368.269843981815,2754.57827075766,2995848.70128833,316826.777113856,3312675.47840219,7596.946748,61343912.8,318555493.85,District,Y,N,0,0,0,0,0,0,0
UT,2018-2019,19,148,Nebo District,Park View School,4900630,4900630,45502500200000.0,490063000389.0,491.0,PK-06,2.0,456.722222222222,ADM,7624.70110197881,370.669391136227,7995.37049311503,5238.39267520296,2.39954715441187,5240.79222235737,2386.30842677584,368.269843981815,2754.57827075766,3482370.43107598,169292.948029495,3651663.37910548,7746.816588,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,704,Nebo District,Payson High,4900630,4900630,45502500200000.0,490063000390.0,1430.0,07-12,4.0,1362.81666666666,ADM,8097.81331613677,386.21920256326,8484.03251870003,5711.50488936093,17.9493585814452,5729.45424794237,2386.30842677584,368.269843981815,2754.57827075766,11035834.9507864,526345.96623992,11562180.9170263,8235.478614,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,408,Nebo District,Payson Jr High,4900630,4900630,45502500200000.0,490063000391.0,1145.0,07-09,3.0,1136.56111111111,ADM,7157.10028595913,523.195700519929,7680.29598647906,4770.79185918328,154.925856538114,4925.7177157214,2386.30842677584,368.269843981815,2754.57827075766,8134481.85334336,594643.886711487,8729125.74005485,7431.742082,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,156,Nebo District,Rees School,4900630,4900630,45502500200000.0,490063000394.0,622.0,PK-06,2.0,587.038888888888,ADM,7300.93118932323,873.179654517793,8174.11084384102,4914.62276254738,504.909810535978,5419.53257308336,2386.30842677584,368.269843981815,2754.57827075766,4285930.53323454,512590.414188509,4798520.94742305,7925.556939,61343912.8,318555493.85,District,Y,N,0,0,0,0,0,0,0
UT,2018-2019,19,158,Nebo District,Riverview School,4900630,4900630,45502500200000.0,490063001156.0,880.0,PK-06,2.0,849.222222222222,ADM,6346.17067441838,370.227932594674,6716.39860701305,3959.86224764253,1.95808861285882,3961.82033625539,2386.30842677584,368.269843981815,2754.57827075766,5389309.16273107,314405.787646788,5703714.95037786,6467.844702,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,160,Nebo District,Sage Creek School,4900630,4900630,45502500200000.0,490063000395.0,734.0,PK-06,2.0,732.5,ADM,6429.62312657094,368.887239749856,6798.5103663208,4043.31469979509,0.617395768040955,4043.93209556313,2386.30842677584,368.269843981815,2754.57827075766,4709698.94021321,270209.903116769,4979908.84332998,6549.956461,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,706,Nebo District,Salem Hills High,4900630,4900630,45502500200000.0,490063001160.0,1387.0,09-12,4.0,1361.32222222222,ADM,7934.29928842569,521.744545224255,8456.04383364994,5547.99086164984,153.474701242439,5701.46556289228,2386.30842677584,368.269843981815,2754.57827075766,10801137.9390958,710262.443737005,11511400.3828328,8207.489929,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,416,Nebo District,Salem Junior High,4900630,4900630,45502500200000.0,490063001390.0,1110.0,07-09,3.0,1114.12777777777,ADM,6721.29425812712,569.618498501399,7290.91275662852,4334.98583135127,201.348654519584,4536.33448587086,2386.30842677584,368.269843981815,2754.57827075766,7488380.6355977,634627.791916478,8123008.42751418,7042.358852,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,164,Nebo District,Salem School,4900630,4900630,45502500200000.0,490063000396.0,545.0,PK-06,2.0,538.294444444444,ADM,6970.28697453361,369.55851470216,7339.84548923577,4583.97854775777,1.28867072034512,4585.26721847811,2386.30842677584,368.269843981815,2754.57827075766,3752066.75457492,198931.295361313,3950998.04993623,7091.291584,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,168,Nebo District,Santaquin School,4900630,4900630,45502500200000.0,490063000397.0,487.0,PK-06,2.0,487.622222222222,ADM,6926.67087372835,375.166994623069,7301.83786835142,4540.36244695251,6.89715064125461,4547.25959759376,2386.30842677584,368.269843981815,2754.57827075766,3377598.64404936,182939.763622533,3560538.40767189,7053.283964,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,169,Nebo District,Sierra Bonita Elementary,4900630,4900630,45502500200000.0,490063001391.0,899.0,PK-06,2.0,891.7,ADM,6124.97582255651,368.735811439906,6493.71163399641,3738.66739578066,0.465967458091286,3739.13336323875,2386.30842677584,368.269843981815,2754.57827075766,5461640.94097364,328801.723060964,5790442.6640346,6245.157729,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,708,Nebo District,Spanish Fork High,4900630,4900630,45502500200000.0,490063000399.0,1445.0,09-12,4.0,1407.91666666666,ADM,7910.49390640918,382.067573581978,8292.56147999116,5524.18547963333,13.7977296001633,5537.9832092335,2386.30842677584,368.269843981815,2754.57827075766,11137316.2123985,537919.30463896,11675235.5170375,8044.007575,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,420,Nebo District,Spanish Fork Jr High,4900630,4900630,45502500200000.0,490063000482.0,1265.0,07-09,3.0,1257.41111111111,ADM,6829.77363487833,509.082776149896,7338.85641102823,4443.46520810249,140.81293216808,4584.27814027057,2386.30842677584,368.269843981815,2754.57827075766,8587833.25486974,640126.339206169,9227959.59407591,7090.302506,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,170,Nebo District,Spanish Oaks School,4900630,4900630,45502500200000.0,490063000747.0,451.0,PK-06,2.0,426.1,ADM,7195.97389308143,370.353521069799,7566.32741415123,4809.66546630558,2.08367708798404,4811.74914339356,2386.30842677584,368.269843981815,2754.57827075766,3066204.47584199,157807.635327841,3224012.11116983,7317.773509,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,360,Nebo District,Spring Canyon Middle,4900630,4900630,45502500200000.0,490063001558.0,,,0.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,NRD,,61343912.8,318555493.85,NRD,NRD,NRD,0,0,0,0,0,1,0
UT,2018-2019,19,171,Nebo District,Spring Lake School,4900630,4900630,45502500200000.0,490063000766.0,721.0,PK-06,2.0,672.927777777777,ADM,7298.86039579662,656.994275763499,7955.85467156012,4912.55196902078,288.724431781683,5201.27640080246,2386.30842677584,368.269843981815,2754.57827075766,4911605.90645365,442109.698002251,5353715.6044559,7707.300767,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,712,Nebo District,Springville High,4900630,4900630,45502500200000.0,490063000402.0,1519.0,08-12,4.0,1487.84444444444,ADM,7579.00020583646,375.329557012663,7954.32976284912,5192.69177906061,7.0597130308485,5199.75149209146,2386.30842677584,368.269843981815,2754.57827075766,11276373.350697,558431.996237086,11834805.3469341,7705.775858,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
UT,2018-2019,19,424,Nebo District,Springville Jr High,4900630,4900630,45502500200000.0,490063000403.0,1132.0,07-09,3.0,1121.02777777777,ADM,7396.56011220411,555.930222383859,7952.49033458797,5010.25168542827,187.660378402043,5197.91206383031,2386.30842677584,368.269843981815,2754.57827075766,8291749.34578393,623213.221798483,8914962.56758241,7703.93643,61343912.8,318555493.85,District,N,N,0,0,0,0,0,0,0
