state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_PA,enrollmetric,pp_stloc_raw_PA,pp_fed_raw_PA,pp_total_raw_PA,schoolstloc_raw_PA,schoolfed_raw_PA,schooltot_raw_PA,pp_total_norm_NERDS,perlocal_raw_PA,nonperlocal_raw_PA,perstate_raw_PA,nonperstate_raw_PA,perfed_raw_PA,nonperfed_raw_PA,pp_personnel_raw_PA,pp_nonpersonnel_raw_PA,pp_perfed_raw_PA,pp_perstloc_raw_PA,pp_perstate_raw_PA,pp_perlocal_raw_PA,pp_nonperfed_raw_PA,pp_nonperstloc_raw_PA,pp_nonperstate_raw_PA,pp_nonperlocal_raw_PA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
PA,2018-2019,121136503,7993,Palmerton Area SD,Parkside Education Center,4218360,4218360,39501301900000.0,421836006856,157.0,KG-01,1,153.917,ADM,13301.84,450.61,13752.45,2047378.76999999,69356.97,2116735.73999999,,1058344.88999999,249529.93,598413.71,141090.239999999,66762.87,2594.1,1723521.46999999,393214.269999999,433.76,10763.98,3887.9,6876.08,16.85,2537.86,916.66,1621.2,0,0,1,0,1,1,1
PA,2018-2019,121136503,7172,Palmerton Area SD,S S Palmer El Sch,4218360,4218360,39501301900000.0,421836007222,456.0,02-06,2,451.577,ADM,14122.99,4.63,14127.6199999999,6377615.74999999,2091.74,6379707.48999999,,2774150.13,1299899.68,1568571.34,734994.6,1342.45,749.29,4344063.92,2035643.56999999,2.97,9616.79,3473.54,6143.25,1.66,4506.2,1627.62,2878.58,0,0,1,0,1,1,1
PA,2018-2019,121136503,1319,Palmerton Area SD,Towamensing El Sch,4218360,4218360,39501301900000.0,421836001319,343.0,KG-06,2,347.144,ADM,24656.85,452.27,25109.12,8559479.62,157003.55,8716483.17,,2055727.36,3412106.95,1162357.8,1929287.51,1031.99,155971.56,3219117.15,5497366.02,2.97,9270.17,3348.34,5921.83,449.3,15386.68,5557.6,9829.08,0,0,1,0,1,1,1
PA,2018-2019,113385303,2761,Palmyra Area SD,Forge Road El Sch,4218390,4218390,39503801400000.0,421839002761,351.0,01-05,2,344.275,ADM,10341.66,359.859999999999,10701.52,3560374.74,123891.89,3684266.63,11143.68376,1874153.84,293051.11,1212873.86,180295.93,120442.58,3449.31,3207470.28,476796.35,349.84,8966.75,3522.98,5443.77,10.02,1374.91,523.7,851.21,0,0,1,0,1,0,0
PA,2018-2019,113385303,8157,Palmyra Area SD,Lingle Avenue El Sch,4218390,4218390,39503801400000.0,421839007376,626.0,KG-05,2,608.218,ADM,9138.7,0,9138.7,5558328.28,0,5558328.28,9580.863765,2934629.15,521871.06,1784488.8,317339.27,0,0,4719117.95,839210.33,0,7758.92,2933.96,4824.96,0,1379.78,521.75,858.03,0,0,1,0,1,0,0
PA,2018-2019,113385303,8162,Palmyra Area SD,Northside El Sch,4218390,4218390,39503801400000.0,421839007374,246.0,01-05,2,241.822,ADM,13140.17,370.77,13510.94,3177582.72,89658.86,3267241.58,13953.10376,1705019.96,237086.96,1089734.90999999,145740.89,87071.88,2586.98,2881826.75,385414.829999999,360.07,11557.07,4506.35,7050.72,10.7,1583.1,602.68,980.42,0,0,1,0,1,0,0
PA,2018-2019,113385303,2765,Palmyra Area SD,Palmyra Area MS,4218390,4218390,39503801400000.0,421839002765,889.0,06-08,3,882.459,ADM,11235.09,6.11,11241.2,9914509.84,5389.55,9919899.39,11683.36376,5411237.29,752158.56,3290464.26,460649.73,0,5389.55,8701701.55,1218197.84,0,9860.74,3728.74,6132,6.11,1374.35,522.01,852.34,0,0,1,0,1,0,0
PA,2018-2019,113385303,2766,Palmyra Area SD,Palmyra Area SHS,4218390,4218390,39503801400000.0,421839002766,1141.0,09-12,4,1103.43,ADM,11964.1899999999,26.7599999999999,11990.9499999999,13201653.35,29525.05,13231178.4,12433.11376,6857121.59999999,1341289.62999999,4181838.95,821403.17,20000,9525.04999999999,11058960.55,2172217.84999999,18.13,10004.22,3789.85,6214.37,8.63,1959.96999999999,744.41,1215.56,0,0,1,0,1,0,0
PA,2018-2019,113385303,2764,Palmyra Area SD,Pine Street El Sch,4218390,4218390,39503801400000.0,421839002764,365.0,01-05,2,359.876,ADM,12090.22,384.46,12474.68,4350979.37,138357.85,4489337.22,12916.84376,2332292.52999999,321087.09,1500255.71,197344.04,134908.54,3449.31,3967456.78,521880.44,374.88,10649.63,4168.81,6480.82,9.58,1440.59,548.37,892.22,0,0,1,0,1,0,0
PA,2018-2019,173515368,7985,Pan American Academy CS,Pan American Academy CS,4200810,4200810,,420081006871,742.0,KG-08,3,739.301,ADM,13420.36,1237.31,14657.67,9921684,914744,10836428,14733.91259,5947437,3812028,13350,148869,914744,0,6875531,3960897,1237.31,8062.74,18.06,8044.68,0,5357.62,201.36,5156.26,0,0,1,0,1,0,0
PA,2018-2019,121136603,1322,Panther Valley SD,Panther Valley El Sch,4218450,4218450,39501370400000.0,421845001322,488.0,KG-03,2,426.208,ADM,22815.74,1583.86,24399.6,9724249.45999999,675051.7,10399301.1599999,,2808156.56,1280975.83,3869840.71,1765276.36,641497.689999999,33554.01,7319494.95999999,3079806.2,1505.13,15668.4,9079.7,6588.7,78.73,7147.34,4141.82,3005.52,0,0,1,0,1,0,1
PA,2018-2019,121136603,8349,Panther Valley SD,Panther Valley Intermediate Sch,4218450,4218450,39501370400000.0,421845007567,430.0,04-06,2,402.016,ADM,12061.98,167.81,12229.79,4849108.81,67463.39,4916572.2,,1377096.92,106263.9,1897738.11,1468009.88,60623.5,6839.89,3335458.53,1581113.66999999,150.8,8146.03,4720.55,3425.48,17.01,3915.95,3651.62,264.33,0,0,1,0,1,0,1
PA,2018-2019,121136603,8348,Panther Valley SD,Panther Valley JSHS,4218450,4218450,39501370400000.0,421845007560,698.0,07-12,4,687.092,ADM,10623.89,116.68,10740.57,7299591.37,80168.32,7379759.69,,1369930.74,1699611.61,1887862.6,2342186.42,68713.55,11454.77,3326506.88999999,4053252.8,100.01,4741.42,2747.61,1993.81,16.67,5882.47,3408.84,2473.63,0,0,1,0,1,0,1
PA,2018-2019,121395103,2824,Parkland SD,Cetronia Sch,4218510,4218510,39503901000000.0,421851002824,591.0,KG-05,2,595.265,ADM,16217.96,403.5,16621.46,9653981.31,240185.32,9894166.63,17030.20974,7156551.29999999,681766.26,1657739.77,157923.98,227449.14,12736.18,9041740.21,852426.42,382.1,14807.34,2784.88,12022.46,21.4,1410.62,265.3,1145.32,0,0,1,0,1,0,0
PA,2018-2019,121395103,4672,Parkland SD,Fogelsville Sch,4218510,4218510,39503901000000.0,421851004672,597.0,KG-05,2,586.4,ADM,16530.84,390.08,16920.92,9693691.06999999,228740.45,9922431.51999999,17329.66974,7068513.92999999,802045.02,1637346.84,185785.28,216240.13,12500.32,8922100.9,1000330.62,368.76,14846.2799999999,2792.2,12054.08,21.32,1684.56,316.82,1367.74,0,0,1,0,1,0,0
PA,2018-2019,121395103,8141,Parkland SD,Fred J. Jaindl El Sch,4218510,4218510,39503901000000.0,421851007356,669.0,KG-05,2,678.802,ADM,16157.81,395.42,16553.23,10967949.06,268410.66,11236359.72,16961.97974,8139767.84999999,765394.17,1885491.54,177295.5,254002.06,14408.6,10279261.45,957098.27,374.19,14769.05,2777.68,11991.37,21.23,1388.76,261.19,1127.57,0,0,1,0,1,0,0
PA,2018-2019,121395103,2823,Parkland SD,Ironton Sch,4218510,4218510,39503901000000.0,421851002823,368.0,KG-05,2,371.208,ADM,16587.77,394.24,16982.01,6157512.74999999,146346.81,6303859.55999999,17390.75974,4531795.83,467648.31,1049742.8,108325.81,138349.18,7997.63,5719887.81,583971.75,372.7,15036.15,2827.91,12208.24,21.54,1551.62,291.82,1259.8,0,0,1,0,1,0,0
PA,2018-2019,121395103,6801,Parkland SD,Kernsville Sch,4218510,4218510,39503901000000.0,421851006801,377.0,KG-05,2,374.544,ADM,16070.88,930.949999999999,17001.83,6019252.74,348681.86,6367934.6,17410.57974,4386594.93,500592.33,1016108.54,115956.94,340619.9,8061.96,5743323.37,624611.23,909.43,14424.75,2712.92,11711.83,21.52,1646.12999999999,309.59,1336.54,0,0,1,0,1,0,0
PA,2018-2019,121395103,2827,Parkland SD,Kratzer Sch,4218510,4218510,39503901000000.0,421851002827,465.0,KG-05,2,462.446,ADM,16847.89,404.57,17252.46,7791238.81,187092.069999999,7978330.88,17661.20974,5767259.65,558649.01,1335924.99,129405.16,177121.83,9970.24,7280306.47,698024.41,383.01,15360.0299999999,2888.82,12471.21,21.56,1487.86,279.83,1208.03,0,0,1,0,1,0,0
PA,2018-2019,121395103,7604,Parkland SD,Orefield MS,4218510,4218510,39503901000000.0,421851000478,974.0,06-08,3,976.99,ADM,14100.45,41.01,14141.46,13775993.74,40061.58,13816055.32,14550.20974,9926111.19999999,1258975.05,2299279.17,291628.32,40061.58,0,12265451.95,1550603.37,41.01,12513.32,2353.43,10159.89,0,1587.13,298.5,1288.63,0,0,1,0,1,0,0
PA,2018-2019,121395103,2829,Parkland SD,Parkland HS,4218510,4218510,39503901000000.0,421851002829,3216.0,09-12,4,2968.47,ADM,15914.1199999999,71.82,15985.9399999999,47240629.66,213185.02,47453814.68,16394.68974,33585191.57,4770699.66,7779656.08,1105082.35,213185.02,0,41578032.67,5875782.01,71.82,13934.73,2620.76,11313.97,0,1979.38999999999,372.27,1607.12,0,0,1,0,1,0,0
