state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DE,enrollmetric,pp_stloc_raw_DE,pp_fed_raw_DE,pp_total_raw_DE,schoolstloc_raw_DE,schoolfed_raw_DE,schooltot_raw_DE,pp_total_norm_NERDS,pp_nonpersonnel_summed_DE,pp_nonper_stloc_summed_DE,pp_nonper_fed_raw_DE,pp_per_fed_raw_DE,pp_per_stloc_raw_DE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
DE,2018-2019,31,178,Brandywine School District,Springer Middle School,1001240,1001240,8500260200000.0,100124000009,873.0,06-08,3.0,873,September Count Day,15797.37,271.23,16068.6,13791104.01,236783.79,14027887.8,16332.5039841899,2715.2,2598.1,154.13,117.1,13199.27,1,0,1,0,0,0,0
DE,2018-2019,31,180,Brandywine School District,Talley Middle School,1001240,1001240,8500260200000.0,100124000294,789.0,06-08,3.0,789,September Count Day,16868.55,1099.73,17968.28,13309285.95,867686.97,14176972.92,18232.1839841899,3588.52,2717.35,228.56,871.17,14151.2,1,0,1,0,0,0,0
DE,2018-2019,10,610,Caesar Rodney School District,Allen Frear Elementary School,1000180,1000180,8500100100000.0,100018000038,732.0,01-05,2.0,732,September Count Day,9648.50999999999,563.6,10212.11,7062709.31999999,412555.2,7475264.52,10122.9886218508,1507.69,1007.93,63.84,499.76,8640.58,1,0,1,0,0,0,0
DE,2018-2019,10,626,Caesar Rodney School District,Caesar Rodney High School,1000180,1000180,8500100100000.0,100018000040,2006.0,09-12,4.0,2006,September Count Day,11316.7799999999,587,11903.78,22701460.6799999,1177522,23878982.68,11814.6586218508,2192.38,1753.33,147.95,439.05,9563.44999999999,1,0,1,0,0,0,0
DE,2018-2019,10,628,Caesar Rodney School District,Dover Air Force Base Middle School,1000180,1000180,8500100100000.0,100018000041,170.0,06-08,3.0,170,September Count Day,4863.62,21473.18,26336.8,826815.4,3650440.6,4477256,26247.6786218508,15621.41,1683.99,7535.76,13937.42,3179.62999999999,1,0,1,0,0,0,0
DE,2018-2019,10,621,Caesar Rodney School District,F. Niel Postlethwait Middle School,1000180,1000180,8500100100000.0,100018000071,899.0,06-08,3.0,899,September Count Day,10206.6799999999,517.88,10724.56,9175805.31999999,465574.12,9641379.44,10635.4386218508,2250.04,1798.42,66.26,451.62,8408.26,1,0,1,0,0,0,0
DE,2018-2019,10,625,Caesar Rodney School District,Fred Fifer III Middle School,1000180,1000180,8500100100000.0,100018000072,890.0,06-08,3.0,890,September Count Day,10494.41,346.03,10840.44,9340024.9,307966.699999999,9647991.6,10751.3186218508,2119.98,1834.2,60.25,285.78,8660.21,1,0,1,0,0,0,0
DE,2018-2019,10,611,Caesar Rodney School District,J. Ralph McIlvaine Early Childhood Center,1000180,1000180,8500100100000.0,100018000309,508.0,KG-KG,1.0,508,September Count Day,11749.19,1304.02,13053.21,5968588.52,662442.16,6631030.68,12964.0886218508,2927.66,1787.09,163.45,1140.57,9962.1,1,0,1,0,0,0,0
DE,2018-2019,10,630,Caesar Rodney School District,John S. Charlton School,1000180,1000180,8500100100000.0,100018000043,229.0,PK-12,4.0,229,September Count Day,82118.12,724.73,82842.85,18805049.48,165963.17,18971012.65,82753.7286218508,19405.8099999999,18938.67,257.59,467.14,63179.45,1,0,1,0,0,0,0
DE,2018-2019,10,615,Caesar Rodney School District,Kent Elementary Intensive Learning Center,1000180,1000180,8500100100000.0,100018000018,36.0,KG-05,2.0,36,September Count Day,53368.7599999999,1989.27,55358.03,1921275.35999999,71613.72,1992889.08,55268.9086218508,8735.2,7012.95,267.02,1722.25,46355.81,1,0,1,0,0,0,0
