state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ME,enrollmetric,pp_stloc_raw_ME,pp_fed_raw_ME,pp_total_raw_ME,pp_site_stloc_raw_ME,pp_site_fed_raw_ME,pp_site_raw_ME,pp_centshare_stloc_raw_ME,pp_centshare_fed_raw_ME,pp_centshare_raw_ME,schoolstloc_raw_ME,schoolfed_raw_ME,schooltot_raw_ME,pp_total_norm_NERDS,pp_salary_site_raw_ME,pp_salary_cent_raw_ME,pp_benefit_site_ME,pp_benefit_cent_ME,pp_nonperson_site_ME,pp_nonperson_cent_raw_ME,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ME,2018-2019,1011,1012,Indian Township,Indian Township School,2300064,2300064,20500620200000.0,,,,,140,October Count Day,30753.41,10058.23,40811.64,27099.38,10058.23,37157.61,3654.02999999999,0,3654.02999999999,4305477.4,1408152.2,5713629.6,,15242.1,1753.81,8415.31,951.85,13500.2,948.36,1,0,0,1,0,1,1
ME,2018-2019,227,228,Isle Au Haut Public Schools,Isle au Haut Rural School,2306780,2306780,20300700630100.0,230678000170.0,5.0,KG-08,3.0,5,October Count Day,45132.69,5065.53,50198.22,36839.62,5065.53,41905.15,8293.07,0,8293.07,225663.45,25327.6499999999,250991.1,52199.70333,23337.85,3574.9,7570.19,267.08,10997.11,4451.09,1,0,0,1,0,0,0
ME,2018-2019,229,230,Islesboro Public Schools,Islesboro Central School,2306810,2306810,20301400730100.0,230681000171.0,90.0,KG-12,4.0,90,October Count Day,25959.95,615.77,26575.72,20129.33,0,20129.33,5830.62,615.77,6446.38999999999,2336395.5,55419.2999999999,2391814.8,26633.33333,12371.77,3304.81,5101.42,985.58,2656.14,2156,1,0,0,1,0,0,0
ME,2018-2019,235,236,Jefferson Public Schools,Jefferson Village School,2306870,2306870,20300800930100.0,230687000175.0,193.0,KG-08,3.0,193,October Count Day,15402.66,0,15402.66,14561.59,0,14561.59,841.07,0,841.07,2972713.38,0,2972713.38,15798.62601,7951.17,17.56,3348.51,0.38,3261.91,823.13,1,0,0,1,0,0,0
ME,2018-2019,237,238,Jonesboro Public Schools,Jonesboro Elementary School,2306900,2306900,20301502330100.0,230690000177.0,62.0,PK-08,3.0,62,October Count Day,11595.76,1146.17,12741.93,9880.31,1146.17,11026.48,1715.45,0,1715.45,718937.12,71062.54,789999.66,13180.29082,6525.57,282.59,2697.07,25.55,1803.84,1407.31,1,0,0,1,0,0,0
ME,2018-2019,239,240,Jonesport Public Schools,Jonesport Elementary School,2307100,2307100,20301502430100.0,230710000917.0,109.0,PK-08,3.0,110,October Count Day,13598.6099999999,2176.97,15775.5799999999,13560.47,2176.97,15737.4399999999,38.14,0,38.14,1495847.09999999,239466.699999999,1735313.79999999,,8150.34,0,3163.34,0,4423.75,38.14,1,0,0,1,0,1,1
ME,2018-2019,242,243,Kittery Public Schools,Horace Mitchell Primary School,2307140,2307140,20301601230100.0,230714000183.0,318.0,KG-03,2.0,318,October Count Day,17085.42,928.13,18013.55,14487.4,785.21,15272.61,2598.02,142.92,2740.94,5433163.56,295145.34,5728308.9,18864.9502,9794.94,977.53,4318.15,296.52,1159.52,1466.9,1,0,0,1,0,0,0
ME,2018-2019,242,246,Kittery Public Schools,Robert W Traip Academy,2307140,2307140,20301601230100.0,230714000184.0,264.0,09-12,4.0,264,October Count Day,20619.18,342.97,20962.15,17900.72,200.05,18100.77,2718.46,142.92,2861.38,5443463.52,90544.08,5534007.6,21813.5502,11198.01,977.53,4859.34,296.52,2043.41,1587.33,1,0,0,1,0,0,0
ME,2018-2019,242,244,Kittery Public Schools,Shapleigh School,2307140,2307140,20301601230100.0,230714000182.0,405.0,04-08,3.0,405,October Count Day,14267.21,759.449999999999,15026.66,11669.1899999999,616.53,12285.72,2598.02,142.92,2740.94,5778220.05,307577.25,6085797.3,15878.0602,7756.93,977.53,3612.43,296.52,916.36,1466.9,1,0,0,1,0,0,0
ME,2018-2019,1665,249,Lamoine Public Schools,Lamoine Consolidated School,2307250,2307250,20300501730100.0,230725000186.0,124.0,KG-08,3.0,124,October Count Day,15928.16,725.66,16653.82,12666.47,662.06,13328.5299999999,3261.69,63.6,3325.29,1975091.84,89981.84,2065073.68,16565.93365,8135.48,909.08,3251.25,261.37,1941.79,2154.85,1,0,0,1,0,0,0
ME,2018-2019,250,251,Lewiston Public Schools,Farwell Elementary School,2307320,2307320,20200100230100.0,230732000187.0,459.0,PK-06,2.0,460,October Count Day,13021.6,1164.21,14185.81,11070.93,1062.56,12133.49,1950.67,101.65,2052.32,5989936,535536.6,6525472.6,16192.85791,7878.5,555.63,3498.93,181.2,756.06,1315.49,1,0,0,1,0,0,0
ME,2018-2019,250,258,Lewiston Public Schools,Governor James B Longley Elem Sch,2307320,2307320,20200100230100.0,230732000194.0,,,,387,October Count Day,13298.48,2965.03,16263.51,11347.81,2863.38,14211.1899999999,1950.67,101.65,2052.32,5146511.76,1147466.61,6293978.37,18270.55791,8786.24,555.63,3453.66,181.2,1971.28,1315.49,1,0,0,1,0,0,0
ME,2018-2019,250,255,Lewiston Public Schools,Lewiston High School,2307320,2307320,20200100230100.0,230732000190.0,1526.0,09-12,4.0,1526,October Count Day,11954.47,426.94,12381.41,10286.82,306.69,10593.51,1667.65,120.25,1787.9,18242521.22,651510.44,18894031.66,14388.45791,6710.44,505.51,2674.71,146.93,1208.35,1135.46,1,0,0,1,0,0,0
ME,2018-2019,250,257,Lewiston Public Schools,Lewiston Middle School,2307320,2307320,20200100230100.0,230732000191.0,800.0,07-08,3.0,800,October Count Day,11968.38,1191.88,13160.2599999999,10017.71,1090.23,11107.9399999999,1950.67,101.65,2052.32,9574704,953504,10528207.9999999,15167.30791,7129.07,555.63,3004.89,181.2,973.99,1315.49,1,0,0,1,0,0,0
ME,2018-2019,250,259,Lewiston Public Schools,Lewiston Regional Technology Ctr,2307320,2307320,20200100230100.0,230732000091.0,,,0.0,719,October Count Day,7379.75,156.14,7535.89,5712.1,35.89,5747.99,1667.65,120.25,1787.9,5306040.25,112264.659999999,5418304.91,9542.937913,3160.75,505.51,1597.08,146.93,990.17,1135.46,1,0,0,1,0,0,0
ME,2018-2019,250,252,Lewiston Public Schools,Martel School,2307320,2307320,20200100230100.0,230732000192.0,,,,291,October Count Day,12802.74,1519.58,14322.32,10852.07,1417.93,12270,1950.67,101.65,2052.32,3725597.34,442197.78,4167795.12,16329.36791,7950.03,555.63,3137.71,181.2,1182.26,1315.49,1,0,0,1,0,0,0
ME,2018-2019,250,254,Lewiston Public Schools,Montello School,2307320,2307320,20200100230100.0,230732000193.0,725.0,PK-06,2.0,729,October Count Day,11653.96,1528.39,13182.35,9703.29,1426.74,11130.03,1950.67,101.65,2052.32,8495736.84,1114196.31,9609933.15,15189.39791,7367.25,555.63,2948.02,181.2,814.77,1315.49,1,0,0,1,0,0,0
