state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NM,enrollmetric,pp_stloc_raw_NM,pp_fed_raw_NM,pp_total_raw_NM,pp_site_stloc_raw_NM,pp_site_fed_raw_NM,pp_site_raw_NM,pp_centshare_stloc_raw_NM,pp_centshare_fed_raw_NM,pp_centshare_raw_NM,schoolstloc_raw_NM,schoolfed_raw_NM,schooltot_raw_NM,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NM,2018-2019,1,1234,Albuquerque,Chaparral Elementary,3500060,3500060,32500100100000.0,350006000036.0,788.0,PK-05,2.0,784,First Reporting Period MEM,10405.782282,1085.2553487,11491.03763,7172.968533,424.9249362,7597.893469,3232.813749,660.3304125,3893.144161,8158133.309088,850840.1933808,9008973.50192,11888.62097,0,0,0,0,0,0,0
NM,2018-2019,1,1236,Albuquerque,Chelwood Elementary,3500060,3500060,32500100100000.0,350006000037.0,508.0,KG-05,2.0,508,First Reporting Period MEM,7864.394544,1004.7729006,8869.167445,5465.435728,542.7138976,6008.149626,2398.958816,462.059003,2861.017819,3995112.428352,510424.6335048,4505537.06205999,9266.75079,0,0,0,0,0,0,0
NM,2018-2019,1,1118,Albuquerque,CHRISTINE DUNCAN HERITAGE ACADEMY,3500060,3500060,32500100100000.0,350006000925.0,433.0,PK-08,3.0,393,First Reporting Period MEM,9031.82,555.67,9587.49,9031.82,555.67,9587.49,0,0,0,3549505.26,218378.31,3767883.57,9985.073345,0,0,0,0,0,0,0
NM,2018-2019,1,1580,Albuquerque,Cibola High,3500060,3500060,32500100100000.0,350006000038.0,1847.0,09-12,4.0,1847,First Reporting Period MEM,8080.041652,601.1478265,8681.189479,5238.732133,191.5562805,5430.288414,2841.309519,409.591546,3250.901065,14923836.9312439,1110320.0355455,16034156.967713,9078.772824,0,0,0,0,0,0,0
NM,2018-2019,1,1780,Albuquerque,CIEN AGUAS INTERNATIONAL,3500060,3500060,32500100100000.0,350006001050.0,426.0,KG-08,3.0,426,First Reporting Period MEM,8294.57,160.47,8455.04,8294.57,160.47,8455.04,0,0,0,3533486.82,68360.22,3601847.04,8852.623345,0,0,0,0,0,0,0
NM,2018-2019,1,1407,Albuquerque,Cleveland Middle,3500060,3500060,32500100100000.0,350006000617.0,628.0,06-08,3.0,628,First Reporting Period MEM,8871.634937,1121.7008628,9993.3358,5923.264204,399.453551,6322.717755,2948.370733,722.2473118,3670.618045,5571386.740436,704428.1418384,6275814.8824,10390.91914,0,0,0,0,0,0,0
NM,2018-2019,1,1237,Albuquerque,Cochiti Elementary,3500060,3500060,32500100100000.0,350006000040.0,289.0,PK-05,2.0,286,First Reporting Period MEM,9653.06052,1165.4598406,10818.52036,6804.276923,620.3152098,7424.592133,2848.783597,545.1446308,3393.928228,2760775.30872,333321.5144116,3094096.82296,11216.1037,0,0,0,0,0,0,0
NM,2018-2019,1,1591,Albuquerque,College & Career HS,3500060,3500060,32500100100000.0,350006001100.0,168.0,09-12,4.0,168,First Reporting Period MEM,7043.337704,141.1858167,7184.523521,4980.204345,0,4980.204345,2063.133359,141.1858167,2204.319176,1183280.734272,23719.2172056,1206999.951528,7582.106866,0,0,0,0,0,0,0
NM,2018-2019,1,1240,Albuquerque,Collet Park Elementary,3500060,3500060,32500100100000.0,350006000041.0,377.0,PK-05,2.0,384,First Reporting Period MEM,9574.425604,979.6872701,10554.11287,6808.413828,426.7569792,7235.170807,2766.011776,552.9302909,3318.942067,3676579.431936,376199.911718399,4052779.34208,10951.69621,0,0,0,0,0,0,0
NM,2018-2019,1,1241,Albuquerque,Comanche Elementary,3500060,3500060,32500100100000.0,350006000042.0,371.0,KG-05,2.0,371,First Reporting Period MEM,8077.934172,892.3773825,8970.311555,5924.07628,555.4380593,6479.51434,2153.857892,336.9393232,2490.797215,2996913.577812,331072.008907499,3327985.586905,9367.8949,0,0,0,0,0,0,0
