state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_NE,enrollmetric,pp_stloc_raw_NE,pp_fed_raw_NE,pp_total_raw_NE,schoolstloc_raw_NE,schoolfed_raw_NE,schooltot_raw_NE,pp_total_norm_NERDS,pp_schsalary_raw_NE,pp_schbenefits_raw_NE,pp_schbuildcontents_raw_NE,pp_stloc_operational_NE,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
NE,2018-2019,470100,1,CENTURA PUBLIC SCHOOLS,CENTURA SECONDARY SCHOOL,3162950,3162950,28504700200000.0,316295000818,226.0,07-12,4.0,221.82,ADM,15844,312,18076,3514516.08,69207.84,4009618.32,17835.0,9344,3598,1920,16044.9827788296,0,0,1,1,0,0,0
NE,2018-2019,230002,4,CHADRON PUBLIC SCHOOLS,CHADRON INTERMEDIATE,3104980,3104980,28502300200000.0,310498000140,144.0,03-04,2.0,144.39,ADM,9602,1050,11495,1386432.77999999,151609.5,1659763.04999999,11440.0,6329,2403,843,10694.1878246415,0,0,1,1,0,0,0
NE,2018-2019,230002,3,CHADRON PUBLIC SCHOOLS,CHADRON MIDDLE SCHOOL,3104980,3104980,28502300200000.0,310498000141,260.0,04-08,3.0,265.42,ADM,11410,487,13162,3028442.2,129259.54,3493458.04,13107.0,7474,2812,1265,12004.1564313164,0,0,1,1,0,0,0
NE,2018-2019,230002,2,CHADRON PUBLIC SCHOOLS,CHADRON PRIMARY,3104980,3104980,28502300200000.0,310498000139,241.0,PK-02,2.0,221.11,ADM,10587,1565,12939,2340891.57,346037.15,2860942.29,12884.0,7435,2763,787,11300.2241870562,0,0,1,1,0,0,0
NE,2018-2019,230002,1,CHADRON PUBLIC SCHOOLS,CHADRON SENIOR HIGH SCHOOL,3104980,3104980,28502300200000.0,310498000138,275.0,09-12,4.0,273.59,ADM,13731,348,15793,3756664.28999999,95209.3199999999,4320806.86999999,15738.0,8132,3403,1714,14307.4136116086,0,0,1,1,0,0,0
NE,2018-2019,450137,2,CHAMBERS PUBLIC SCHOOLS,CHAMBERS ELEMENTARY SCHOOL,3105010,3105010,28504500900000.0,310501000142,76.0,PK-06,2.0,74.35,ADM,16206,731,18463,1204916.09999999,54349.85,1372724.04999999,17813.0,9736,4136,1526,16206,0,0,1,1,0,0,0
NE,2018-2019,450137,1,CHAMBERS PUBLIC SCHOOLS,CHAMBERS HIGH SCHOOL,3105010,3105010,28504500900000.0,310501000143,56.0,07-12,4.0,57.18,ADM,21547,69,23540,1232057.46,3945.42,1346017.2,22890.0,11760,5059,1924,21547,0,0,1,1,0,0,0
NE,2018-2019,150010,2,CHASE COUNTY SCHOOLS,CHASE COUNTY ELEMENTARY SCHOOL,3100163,3100163,28501510100000.0,310016301773,251.0,PK-06,2.0,245.69,ADM,11970,196,13795,2940909.3,48155.24,3389293.55,12504.0,6856,2783,1629,11970,0,0,1,1,0,0,0
NE,2018-2019,150010,1,CHASE COUNTY SCHOOLS,CHASE COUNTY HIGH SCHOOL,3100163,3100163,28501510100000.0,310016301772,179.0,07-12,4.0,178.55,ADM,16344,189,19444,2918221.2,33745.95,3471726.2,18153.0,9767,3917,2911,16344,0,0,1,1,0,0,0
NE,2018-2019,150010,3,CHASE COUNTY SCHOOLS,CHASE COUNTY MIDDLE SCHOOL,3100163,3100163,28501510100000.0,310016302334,,,,195.38,ADM,9894,189,12115,1933089.72,36926.82,2367028.69999999,10824.0,5521,2108,2032,9894,0,0,1,1,0,0,0
NE,2018-2019,554003,1,CHILD GUIDANCE CTR TGH SCHOOL,CHILD GUIDANCE CNTR TGH SCHOOL,3100152,3100152,,310015201717,0.0,07-12,4.0,NRD,ADM,NRD,NRD,NRD,NRD,NRD,NRD,,NRD,NRD,NRD,NRD,0,0,1,1,0,1,1
NE,2018-2019,190058,2,CLARKSON PUBLIC SCHOOLS,CLARKSON ELEMENTARY SCHOOL,3105160,3105160,28501905300000.0,310516000150,114.0,PK-06,2.0,93.46,ADM,17033,278,19234,1591904.18,25981.8799999999,1797609.64,18746.0,11364,4861,1923,17770.748769527,0,0,1,1,0,0,0
NE,2018-2019,190058,1,CLARKSON PUBLIC SCHOOLS,CLARKSON JR-SR HIGH SCHOOL,3105160,3105160,28501905300000.0,310516000151,97.0,07-12,4.0,97.68,ADM,19004,511,22322,1856310.72,49914.48,2180412.96,21834.0,10840,5150,2807,19709.8763308763,0,0,1,1,0,0,0
NE,2018-2019,160030,2,CODY-KILGORE PUBLIC SCHS,CODY-KILGORE ELEMENTARY SCHOOL,3105280,3105280,28501613400000.0,310528000156,79.0,PK-05,2.0,65.64,ADM,15802,1354,18346,1037243.28,88876.56,1204231.44,,9907,4205,1190,15802,0,0,1,1,0,1,1
NE,2018-2019,160030,1,CODY-KILGORE PUBLIC SCHS,CODY-KILGORE HIGH SCHOOL,3105280,3105280,28501613400000.0,310528000157,48.0,09-12,4.0,47.22,ADM,29445,43,33247,1390392.9,2030.46,1569923.33999999,,16640,7040,3759,29445,0,0,1,1,0,1,1
NE,2018-2019,160030,3,CODY-KILGORE PUBLIC SCHS,CODY-KILGORE MIDDLE SCHOOL,3105280,3105280,28501613400000.0,310528002306,41.0,06-08,3.0,41.51,ADM,7462,185,7902,309747.62,7679.34999999999,328012.019999999,,3222,1535,255,7462,0,0,1,1,0,1,1
NE,2018-2019,710001,12,COLUMBUS PUBLIC SCHOOLS,CENTENNIAL ELEMENTARY SCHOOL,3105340,3105340,28507100100000.0,310534001139,369.0,PK-04,2.0,328.03,ADM,12513,419,14101,4104639.38999999,137444.569999999,4625551.02999999,13566.0,9584,2224,1169,13933.8852848824,0,0,1,1,0,0,0
NE,2018-2019,710001,1,COLUMBUS PUBLIC SCHOOLS,COLUMBUS HIGH SCHOOL,3105340,3105340,28507100100000.0,310534000168,1292.0,09-12,4.0,1265.13,ADM,8214,465,10106,10391777.82,588285.45,12785403.78,9571.0,5757,1649,1427,8582.41510358619,0,0,1,1,0,0,0
NE,2018-2019,710001,2,COLUMBUS PUBLIC SCHOOLS,COLUMBUS MIDDLE SCHOOL,3105340,3105340,28507100100000.0,310534000165,1139.0,05-08,3.0,1141.88,ADM,8597,420,9762,9816742.36,479589.6,11147032.56,9227.0,6204,1716,745,9005.18036921568,0,0,1,1,0,0,0
NE,2018-2019,710001,3,COLUMBUS PUBLIC SCHOOLS,EMERSON ELEMENTARY SCHOOL,3105340,3105340,28507100100000.0,310534000161,298.0,PK-04,2.0,212.9,ADM,12837,418,14560,2732997.3,88992.2,3099824,14025.0,9901,2255,1305,15026.2578675434,0,0,1,1,0,1,0
