state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_WA,enrollmetric,pp_stloc_raw_WA,pp_fed_raw_WA,pp_total_raw_WA,schoolstloc_raw_WA,schoolfed_raw_WA,schooltot_raw_WA,pp_total_norm_NERDS,nonperfed_admin_raw_WA,nonperfed_instruction_raw_WA,nonperfed_instructionsupport_raw_WA,nonperfed_food_raw_WA,nonperfed_maintenanceops_raw_WA,nonperfed_publicactives_raw_WA,nonperstloc_admin_raw_WA,nonperstloc_instruction_raw_WA,nonperstloc_instructionsupport_raw_WA,nonperstloc_food_raw_WA,nonperstloc_transportation_raw_WA,nonperstloc_maintenanceops_raw_WA,nonperstloc_otherservices_raw_WA,nonperstloc_publicactives_raw_WA,perfed_raw_WA,perstloc_raw_WA,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
WA,2018-2019,13161,3779,Moses Lake School District,North Elementary,5305220.0,5305220.0,48501300700000.0,530522000793.0,299.0,KG-05,2.0,296.22,October Count Day,13918.7434584324,2920.10399814507,16838.8474565775,4123010.18725685,864993.206330533,4988003.39358738,16846.78699,0,7767.76855439105,6934.30963381477,64856.7624072905,0,0,31971.2011928992,282076.288955435,129451.76994274,0,26912.4879142079,155374.067024038,20491.4254273711,0,785434.365735037,3476732.94680016,1,0,1,1,0,0,0
WA,2018-2019,13161,5251,Moses Lake School District,Park Orchard Elementary School,5305220.0,5305220.0,48501300700000.0,530522003368.0,502.0,KG-05,2.0,499.21,October Count Day,11801.267173272,719.192533758099,12520.4597070301,5891310.58556913,359028.10477738,6250338.69034651,12528.39924,0,13090.7694957719,11686.168092285,109301.007228895,0,0,53880.0329063101,475374.060527456,218160.887425276,0,45354.746781621,261846.897572987,34533.5375315575,0,224950.159960427,4802160.42282393,1,0,1,1,0,0,0
WA,2018-2019,13161,2832,Moses Lake School District,Peninsula Elementary,5305220.0,5305220.0,48501300700000.0,530522000794.0,475.0,PK-05,2.0,490.86,October Count Day,11023.3254466259,683.148765013914,11706.4742116398,5410909.5287308,335330.40279473,5746239.93152553,11714.41374,0,12871.8076855323,11490.7002459467,107472.79182784,0,0,52978.8124284196,467422.750647037,214511.835102604,0,44596.1238861932,257467.134357637,33955.9148108817,0,203495.103035411,4339976.95749802,1,0,1,1,0,0,0
WA,2018-2019,13161,5173,Moses Lake School District,Sage Point Elementary School,5305220.0,5305220.0,48501300700000.0,530522003281.0,453.0,KG-05,2.0,449.85,October Count Day,12128.2486045332,560.610903403941,12688.8595079371,5455892.63474927,252190.814896263,5708083.44964553,12696.79904,0,11796.4036330863,10530.6839132117,98493.7363072029,0,0,48552.5786801217,428370.868228354,196589.962557362,0,40870.2406596668,235956.464961055,31118.9917240663,0,131369.991042762,4474433.52793865,1,0,1,1,0,0,0
WA,2018-2019,13161,5323,Moses Lake School District,Skill Source Reingagement Program,5305220.0,5305220.0,48501300700000.0,530522003443.0,149.0,09-12,4.0,128,October Count Day,2181.74748651912,268.580246423254,2450.32773294237,279263.678274447,34378.2715421765,313641.949816623,2458.267266,0,3356.54032463053,2996.39333309125,28025.3378844547,0,0,13815.1163077817,121888.343077091,55937.5685391626,0,11629.1892951814,67138.8852173281,8854.57583790261,0,0,0,1,0,1,1,0,1,0
WA,2018-2019,21206,5415,Mossyrock School District,Mossyrock Academy,5305250.0,5305250.0,48502100800000.0,530525003537.0,6.0,07-12,4.0,7.76,October Count Day,11456.5402569071,6091.3470892442,17547.8873461513,88902.7523935992,47268.853412535,136171.605806134,17698.09859,0,1775.47140647081,93.2285072517665,1722.72043287467,0,0,1054.32903681665,11235.1411186315,1192.48878095946,0,875.6887288955,4575.33755596876,955.337669021941,0,43677.4330659378,69014.4295033053,1,0,1,1,0,0,0
WA,2018-2019,21206,2572,Mossyrock School District,Mossyrock Elementary School,5305250.0,5305250.0,48502100800000.0,530525000795.0,283.0,KG-06,2.0,320.98,October Count Day,11994.6208897135,797.823263069437,12792.444152783,3850033.41318025,256085.310980028,4106118.72416028,12942.6554,0,73439.5376351804,3856.24822908144,71257.5779051691,0,0,43610.6358553366,464723.65931164,49325.3929010785,0,36221.4649743398,189251.526896244,39516.0161085906,0,107531.947210597,3027384.71713302,1,0,1,1,0,0,0
WA,2018-2019,21206,3238,Mossyrock School District,Mossyrock Jr./Sr. High School,5305250.0,5305250.0,48502100800000.0,530525000796.0,225.0,07-12,4.0,209.06,October Count Day,16346.3340879467,684.667012376527,17031.0011003232,3417364.60442613,143136.485607436,3560501.09003357,17181.21235,0,47832.4809583488,2511.64326366679,46411.3316619561,0,0,28404.3851078468,302682.809569729,32126.5083179621,0,23591.6862967646,123262.895547787,25737.4862223874,0,46381.0297234651,2881558.83336366,1,0,1,1,0,0,0
WA,2018-2019,39209,2506,Mount Adams School District,Harrah Elementary School,5305280.0,5305280.0,48503980100000.0,530528000797.0,539.0,PK-06,2.0,543.53,October Count Day,13814.7909535294,1864.339909516,15679.1308630455,7508753.32697188,1013324.67101923,8522077.99799112,15732.48558,0,193826.648392109,20138.3976971874,193501.533536387,0,0,133293.540796485,761452.666512902,28567.4586545836,0,47908.8792468364,588673.715047798,31956.5065123501,0,605858.091393552,5916900.56020092,1,0,1,1,0,0,0
WA,2018-2019,39209,2389,Mount Adams School District,Mount Adams Middle School,5305280.0,5305280.0,48503980100000.0,530528001851.0,143.0,07-08,3.0,141.19,October Count Day,2928.73027573631,749.667138199701,3678.39741393601,413507.42763121,105845.503242415,519352.930873625,3731.752131,0,50349.3541966072,5231.24826755816,50264.9007782505,0,0,34624.9793480687,197798.653220534,7420.82219461789,0,12445.0438078134,152916.751288058,8301.17777211692,0,0,0,1,0,1,1,0,1,0
WA,2018-2019,39209,2532,Mount Adams School District,White Swan High School,5305280.0,5305280.0,48503980100000.0,530528000798.0,236.0,09-12,4.0,220.13,October Count Day,28314.1338545264,2733.83525979352,31047.9691143199,6232790.2853969,601799.155738348,6834589.44113525,31101.32383,0,78499.9174112836,8156.06403525446,78368.2456853621,0,0,53983.9698554455,308388.820266564,11569.8391507985,0,19403.1269453501,238413.233664142,12942.4057155329,0,436774.928606448,5588088.88979906,1,0,1,1,0,0,0
WA,2018-2019,37507,2585,Mount Baker School District,Acme Elementary,5305310.0,5305310.0,48503700700000.0,530531000799.0,235.0,KG-06,2.0,234.91,October Count Day,12915.4575358201,1419.33677302333,14334.7943088434,3033970.1297395,333416.40135091,3367386.53109041,13984.96654,0,9002.33270363878,261.020262098274,41155.1189071979,0,0,34508.3563674369,270908.363356441,8230.58378533864,0,24519.7810138114,155831.765649243,19011.0298301726,0,282997.929477975,2520960.24973706,1,0,1,1,0,0,0
WA,2018-2019,37507,1936,Mount Baker School District,Educational Resource Center,5305310.0,5305310.0,48503700700000.0,530531003025.0,46.0,PK-PK,1.0,52.22,October Count Day,9847.30380523004,1980.85245611952,11828.1562613495,514226.204709112,103440.115258561,617666.319967674,11478.3285,0,2001.1996670385,58.0242564674635,9148.6965618061,0,0,7671.13519861885,60222.3606252324,1829.64150215138,0,5450.69586029216,34641.0744634263,4226.11203325365,0,92232.1947732496,400185.185026137,1,0,1,1,0,0,0
WA,2018-2019,37507,3365,Mount Baker School District,Harmony Elementary,5305310.0,5305310.0,48503700700000.0,530531000801.0,342.0,KG-06,2.0,342.47,October Count Day,13564.7553199929,819.684070768411,14384.4393907613,4645521.75443798,280717.203716057,4926238.95815404,14034.61163,0,13124.2981610623,380.535563240372,59999.1212470651,0,0,50308.9557922442,394951.203433997,11999.182789004,0,35746.8366770252,227183.622586932,27715.7523559627,0,207213.24874469,3897616.20080281,1,0,1,1,0,0,0
WA,2018-2019,37507,4533,Mount Baker School District,Kendall Elementary,5305310.0,5305310.0,48503700700000.0,530531002776.0,425.0,KG-06,2.0,420.46,October Count Day,12414.1569073501,1134.85527498513,13549.0121823352,5219656.41326445,477161.248920248,5696817.66218469,13199.18442,0,16113.0680199734,467.194156918991,73662.5997008233,0,0,61765.7124781938,484892.641679149,14731.7324012749,0,43887.3914480743,278919.689178326,34027.4045481009,0,386918.387042533,4301431.84153132,1,0,1,1,0,0,0
WA,2018-2019,37507,5112,Mount Baker School District,Mount Baker Academy,5305310.0,5305310.0,48503700700000.0,530531003211.0,20.0,KG-12,4.0,22.22,October Count Day,21043.7279281164,214.628887118193,21258.3568152346,467591.634562747,4769.05387176626,472360.688434513,20908.52905,0,851.525404090304,24.6897544754316,3892.83871320053,0,0,3264.12531814077,25625.0642108897,778.526123665338,0,2319.31179654714,14740.0358976892,1798.24223245683,0,0,419066.328983357,1,0,1,1,0,0,0
WA,2018-2019,37507,3003,Mount Baker School District,Mount Baker Junior High,5305310.0,5305310.0,48503700700000.0,530531002608.0,291.0,07-08,3.0,298.82,October Count Day,15757.8170040937,214.628887118193,15972.4458912119,4708750.87716329,64135.4040486586,4772886.28121195,15622.61813,0,11451.5221084728,332.033862841965,52351.8480773439,0,0,43896.7564161487,344612.137151129,10469.8099133068,0,31190.6728642761,198227.611473784,24183.2017958034,0,0,4056170.68754885,1,0,1,1,0,0,0
WA,2018-2019,37507,2343,Mount Baker School District,Mount Baker Senior High,5305310.0,5305310.0,48503700700000.0,530531000803.0,551.0,09-12,4.0,511.4,October Count Day,17488.8176498296,457.632465455214,17946.4501152848,8943781.34612289,234033.242833796,9177814.58895669,17596.62235,0,19598.1139357237,568.242143957503,89594.8567925631,0,0,75124.8284292164,589768.57954316,17918.013485259,0,53379.6603399734,339246.370750598,41387.0872042496,0,124272.029961552,7826956.80637043,1,0,1,1,0,0,0
WA,2018-2019,30029,3459,Mount Pleasant School District,Mount Pleasant School,5305340.0,5305340.0,48503000500000.0,530534000804.0,66.0,KG-08,3.0,63.5,October Count Day,14741.4598425196,372.826299212598,15114.2861417322,936082.7,23674.4699999999,959757.169999999,13224.02599,0,352,0,3906.12,0,0,38694.6,153144.549999999,7983.63,0,21103.71,38774.36,13831.04,0,19416.3499999999,662550.81,1,0,1,1,0,0,0
