state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_AK,enrollmetric,pp_stloc_raw_AK,pp_fed_raw_AK,pp_total_raw_AK,pp_site_stloc_raw_AK,pp_site_fed_raw_AK,pp_site_raw_AK,pp_centshare_stloc_raw_AK,pp_centshare_fed_raw_AK,pp_centshare_raw_AK,schoolstloc_raw_AK,schoolfed_raw_AK,schooltot_raw_AK,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
AK,2018-2019,33,339040,Mat-Su,Fronteras Charter School,200510,200510,2101300730100,20051000740,310.0,KG-08,3.0,309.75,ADM,14417,114,14531,13311,35,13346,1106,79,1185,4465665.75,35311.5,4500977.25,14621.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330030,Mat-Su,Glacier View School,200510,200510,2101300730100,20051000225,40.0,KG-12,4.0,40,ADM,28655,2530,31185,27549,2451,30000,1106,79,1185,1146200,101200,1247400,31275.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330390,Mat-Su,Goose Bay Elementary,200510,200510,2101300730100,20051000011,277.0,PK-02,2.0,273.95,ADM,15889,1993,17882,14783,1914,16697,1106,79,1185,4352791.55,545982.35,4898773.89999999,17972.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330250,Mat-Su,Houston Jr./Sr. High School,200510,200510,2101300730100,20051000586,343.0,06-12,4.0,345.05,ADM,17678,2810,20488,16572,2731,19303,1106,79,1185,6099793.9,969590.5,7069384.4,20578.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330450,Mat-Su,Houston Middle School,200510,200510,2101300730100,20051000450,381.0,06-08,3.0,383.15,ADM,14995,2308,17303,13889,2229,16118,1106,79,1185,5745334.25,884310.2,6629644.44999999,17393.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330040,Mat-Su,Iditarod Elementary,200510,200510,2101300730100,20051000226,418.0,PK-05,2.0,420.45,ADM,13525,3548,17073,12419,3469,15888,1106,79,1185,5686586.25,1491756.59999999,7178342.85,17163.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330540,Mat-Su,Joe Redington Senior Jr/Sr High School,200510,200510,2101300730100,20051000758,599.0,06-12,4.0,600.8,ADM,14063,1294,15357,12957,1215,14172,1106,79,1185,8449050.39999999,777435.2,9226485.6,15447.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330500,Mat-Su,John Shaw Elementary,200510,200510,2101300730100,20051000480,468.0,PK-05,2.0,461.95,ADM,13040,843,13883,11934,764,12698,1106,79,1185,6023828,389423.85,6413251.85,13973.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330510,Mat-Su,Knik Elementary School,200510,200510,2101300730100,20051000733,324.0,KG-05,2.0,325.2,ADM,13181,925,14106,12075,846,12921,1106,79,1185,4286461.2,300810,4587271.2,14196.11225,0,0,0,0,0,0,0
AK,2018-2019,33,330430,Mat-Su,Larson Elementary,200510,200510,2101300730100,20051000443,408.0,PK-05,2.0,401.75,ADM,14863,2245,17108,13757,2166,15923,1106,79,1185,5971210.25,901928.75,6873139,17198.11225,0,0,0,0,0,0,0
