state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_ND,enrollmetric,pp_stloc_raw_ND,pp_fed_raw_ND,pp_total_raw_ND,schoolstloc_raw_ND,schoolfed_raw_ND,schooltot_raw_ND,pp_total_norm_NERDS,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
ND,2018-2019,47001,45703,Jamestown Public School District,Jamestown High School,3800021,3800021,35504702700000.0,380002100310,696.0,09-12,4.0,696,September Count,11563.37,617.07,12180.44,8048105.52,429480.72,8477586.24,13584.05936,1,0,1,0,0,0,0
ND,2018-2019,47001,45732,Jamestown Public School District,Jamestown Middle School,3800021,3800021,35504702700000.0,380002100311,539.0,06-08,3.0,539,September Count,10320.61,603.93,10924.54,5562808.79,325518.269999999,5888327.06,12328.15936,1,0,1,0,0,0,0
ND,2018-2019,47001,52841,Jamestown Public School District,Lincoln Elementary School,3800021,3800021,35504702700000.0,380002100312,228.0,KG-05,2.0,228,September Count,9264.49,1546.76,10811.25,2112303.71999999,352661.279999999,2464965,12214.86936,1,0,1,0,0,0,0
ND,2018-2019,47001,53301,Jamestown Public School District,Louis L'amour Elementary School,3800021,3800021,35504702700000.0,380002100825,102.0,KG-05,2.0,102,September Count,12875.16,541.29,13416.45,1313266.32,55211.5799999999,1368477.9,14820.06936,1,0,1,0,0,0,0
ND,2018-2019,47001,75711,Jamestown Public School District,Roosevelt Elementary School,3800021,3800021,35504702700000.0,380002100313,229.0,KG-05,2.0,229,September Count,9822.94,1572.51,11395.44,2249453.26,360104.79,2609555.76,12799.05936,1,0,1,0,0,0,0
ND,2018-2019,47001,92471,Jamestown Public School District,Washington Elementary School,3800021,3800021,35504702700000.0,380002100314,106.0,KG-05,2.0,106,September Count,12761.14,1749.1,14510.24,1352680.83999999,185404.599999999,1538085.44,15913.85936,1,0,1,0,0,0,0
ND,2018-2019,47001,46041,Jamestown Public School District,William S Gussner Elementary School,3800021,3800021,35504702700000.0,380002100315,252.0,PK-05,2.0,238,September Count,10268.92,604.92,10873.84,2444002.96,143970.96,2587973.92,12277.45936,1,0,1,0,0,0,0
ND,2018-2019,51028,48781,Kenmare Public School District,Kenmare Elementary School,3810180,3810180,35505102900000.0,381018000731,224.0,PK-08,3.0,220,September Count,4020.69,0,4020.69,884551.8,0,884551.8,6966.027296,1,0,1,0,0,1,0
ND,2018-2019,51028,48823,Kenmare Public School District,Kenmare High School,3810180,3810180,35505102900000.0,381018000326,83.0,09-12,4.0,83,September Count,32448.55,0,32448.55,2693229.65,0,2693229.65,35393.8873,1,0,1,0,0,0,0
ND,2018-2019,47019,48921,Kensal Public School District,Kensal Elementary School,3810260,3810260,35504702900000.0,381026000329,52.0,PK-06,2.0,33,September Count,11288.23,932.92,12221.15,372511.589999999,30786.3599999999,403297.95,19003.88173,1,0,1,0,0,0,0
