state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_IN,enrollmetric,pp_stloc_raw_IN,pp_fed_raw_IN,pp_total_raw_IN,schoolstloc_raw_IN,schoolfed_raw_IN,schooltot_raw_IN,pp_total_norm_NERDS,pp_instruction_site_raw_IN,pp_otherinstruct_site_raw_IN,pp_instruction_centshare_raw_IN,pp_operations_site_raw_IN,pp_operations_centshare_raw_IN,pp_instruction_raw_IN,pp_noninstruction_raw_IN,countenroll,noaudit,nositecen,adfinvars,distflex,flag_nerds,flag_f33
IN,2018-2019,365,0375,Bartholomew Con School Corp,CSA Fodrea Campus,1800360,1800360,15500370100000.0,180036002492.0,378.0,PK-06,2.0,378,October Count Day,8283.48,316.57,8600.05,3131155.44,119663.459999999,3250818.9,9585.036974,5352.76,0,1044.43,487.85,1715,6397.19,2202.85999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0346,Bartholomew Con School Corp,CSA Lincoln Campus,1800360,1800360,15500370100000.0,180036002421.0,352.0,KG-06,2.0,352,October Count Day,8319.61,130.56,8450.17,2928502.72,45957.12,2974459.84,9435.156974,5327.2,0,1044.43,363.53,1715,6371.63,2078.54,1,0,1,1,0,0,0
IN,2018-2019,365,0371,Bartholomew Con School Corp,L F Smith Elementary,1800360,1800360,15500370100000.0,180036000070.0,497.0,KG-06,2.0,497,October Count Day,9300.45,888.58,10189.03,4622323.65,441624.26,5063947.91,11174.01697,6310.24,718.47,1044.43,400.89,1715,7354.67,2834.36,1,0,1,1,0,0,0
IN,2018-2019,365,0369,Bartholomew Con School Corp,Lillian Schmitt Elementary School,1800360,1800360,15500370100000.0,180036000071.0,657.0,KG-06,2.0,657,October Count Day,9446.46,936.38,10382.84,6206324.22,615201.66,6821525.88,11367.82697,6640.03,651.24,1044.43,332.13,1715,7684.46,2698.38,1,0,1,1,0,0,0
IN,2018-2019,365,0353,Bartholomew Con School Corp,Mount Healthy Elementary School,1800360,1800360,15500370100000.0,180036000075.0,457.0,KG-06,2.0,457,October Count Day,8644.36,240.81,8885.17,3950472.52,110050.17,4060522.69,9870.156974,5707.91,0,1044.43,417.83,1715,6752.34,2132.83,1,0,1,1,0,0,0
IN,2018-2019,365,0395,Bartholomew Con School Corp,Northside Middle School,1800360,1800360,15500370100000.0,180036000076.0,835.0,07-08,3.0,835,October Count Day,9605.09,517.07,10122.16,8020250.15,431753.45,8452003.6,11107.14697,6345.55,445.31,1044.43,571.87,1715,7389.98,2732.17999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0357,Bartholomew Con School Corp,Parkside Elementary School,1800360,1800360,15500370100000.0,180036000077.0,750.0,PK-06,2.0,750,October Count Day,8634.15,496.29,9130.43,6475612.5,372217.5,6847822.5,10115.41697,5929.58,11.1,1044.43,430.32,1715,6974.01,2156.42,1,0,1,1,0,0,0
IN,2018-2019,365,0354,Bartholomew Con School Corp,Richard L Johnson Early Educ Cntr,1800360,1800360,15500370100000.0,180036002506.0,98.0,PK-PK,1.0,98,October Count Day,10622.4,3710.21,14332.61,1040995.2,363600.58,1404595.78,15317.59697,10356.59,108.49,1044.43,1108.1,1715,11401.02,2931.59,1,0,1,1,0,0,0
IN,2018-2019,365,0366,Bartholomew Con School Corp,Rockcreek Elementary School,1800360,1800360,15500370100000.0,180036000079.0,372.0,KG-06,2.0,372,October Count Day,8739.09,154.55,8893.64,3250941.48,57492.6,3308434.07999999,9878.626974,5607.06,0,1044.43,527.14,1715,6651.49,2242.14999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0392,Bartholomew Con School Corp,Southside Elementary School,1800360,1800360,15500370100000.0,180036000080.0,967.0,PK-06,2.0,967,October Count Day,8322.6,213.94,8536.54,8047954.2,206879.98,8254834.18,9521.526974,5303.51,118.59,1044.43,355,1715,6347.94,2188.6,1,0,1,1,0,0,0
IN,2018-2019,365,0377,Bartholomew Con School Corp,Taylorsville Elementary School,1800360,1800360,15500370100000.0,180036000081.0,640.0,PK-06,2.0,640,October Count Day,8381.25,756.96,9138.21,5364000,484454.4,5848454.39999999,10123.19697,6026.89,37.08,1044.43,314.81,1715,7071.32,2066.88999999999,1,0,1,1,0,0,0
IN,2018-2019,365,0363,Bartholomew Con School Corp,W D Richards Elementary School,1800360,1800360,15500370100000.0,180036000082.0,566.0,KG-06,2.0,566,October Count Day,8270.2,211.04,8481.24,4680933.2,119448.64,4800381.84,9466.226974,5311.86,59.48,1044.43,350.46,1715,6356.29,2124.95,1,0,1,1,0,0,0
IN,2018-2019,6895,7217,Batesville Community School Corp,Batesville High School,1800390,1800390,15506900200000.0,180039000084.0,701.0,09-12,4.0,701,October Count Day,9527.17,507.98,10035.15,6678546.17,356093.98,7034640.14999999,10742.61079,7406.76,0,573.37,861.34,1193.67,7980.13,2055.01999999999,1,0,1,1,0,0,0
IN,2018-2019,6895,7229,Batesville Community School Corp,Batesville Intermediate School,1800390,1800390,15506900200000.0,180039000087.0,480.0,03-05,2.0,480,October Count Day,7655.39,538.5,8193.88,3674587.2,258480,3933062.39999999,8901.340793,5640.17,0,573.37,786.68,1193.67,6213.54,1980.33999999999,1,0,1,1,0,0,0
IN,2018-2019,6895,7219,Batesville Community School Corp,Batesville Middle School,1800390,1800390,15506900200000.0,180039000085.0,483.0,06-08,3.0,483,October Count Day,8623.73,313.69,8937.42,4165261.59,151512.27,4316773.86,9644.880793,6383.41,0,573.37,786.96,1193.67,6956.78,1980.64,1,0,1,1,0,0,0
IN,2018-2019,6895,7218,Batesville Community School Corp,Batesville Primary School,1800390,1800390,15506900200000.0,180039002381.0,517.0,PK-02,2.0,517,October Count Day,8008.4,706.4,8714.8,4140342.8,365208.8,4505551.6,9422.260793,6204.77,0,573.37,743,1193.67,6778.14,1936.65999999999,1,0,1,1,0,0,0
IN,2018-2019,2260,1705,Baugo Community Schools,Jimtown Elementary School,1800420,1800420,15502000100000.0,180042000089.0,398.0,KG-02,2.0,398,October Count Day,15166.82,932.57,16099.4,6036394.36,371162.86,6407561.2,16851.15978,12303.22,0,728.42,1416.65,1651.11,13031.64,3067.76,1,0,1,1,0,0,0
